chem,date,delay,price,time
Basic,2023-10-15,8 min Ago,1000,03:09:04
Sniper,2023-10-15,8 min Ago,200,03:09:04
Finisher,2023-10-15,8 min Ago,450,03:09:04
Deadeye,2023-10-15,8 min Ago,250,03:09:04
Marksman,2023-10-15,8 min Ago,200,03:09:04
Hawk,2023-10-15,8 min Ago,750,03:09:04
Artist,2023-10-15,8 min Ago,200,03:09:04
Architect,2023-10-15,7 min Ago,200,03:09:04
Powerhouse,2023-10-15,7 min Ago,250,03:09:04
Maestro,2023-10-15,7 min Ago,250,03:09:05
Engine,2023-10-15,7 min Ago,600,03:09:05
Sentinel,2023-10-15,7 min Ago,200,03:09:05
Guardian,2023-10-15,7 min Ago,200,03:09:05
Gladiator,2023-10-15,7 min Ago,200,03:09:05
Backbone,2023-10-15,6 min Ago,350,03:09:05
Anchor,2023-10-15,6 min Ago,5000,03:09:05
Hunter,2023-10-15,6 min Ago,9000,03:09:05
Catalyst,2023-10-15,5 min Ago,550,03:09:05
Shadow,2023-10-15,5 min Ago,5000,03:09:05
Wall,2023-10-15,5 min Ago,200,03:09:05
Shield,2023-10-15,5 min Ago,200,03:09:05
Cat,2023-10-15,5 min Ago,350,03:09:05
Glove,2023-10-15,5 min Ago,200,03:09:05
GK Basic,2023-10-15,5 min Ago,1000,03:09:05
